question,daily_pool,vol24h,liq,mid,spread_c,max_c,min_size,dtr,bid_qual,ask_qual,cap_used,share_pct,daily_$,weekly_$,wk_ROC_%
Will annual inflation be 3.3% in July?,63.0,2341,10804,0.295,1.0,4.5,50,18.9,7620,1889,99.0,2.06,1.3,9.08,9.2
Will the next diplomatic US-Iran meeting be in Qatar,97.0,4861,12490,0.165,1.0,4.5,50,68.8,11470,3472,99.0,1.32,1.28,8.97,9.1
Will Anthropic have the best AI model at the end of ,100.0,10837,14236,0.905,1.0,4.5,50,37.8,2302,13787,99.0,1.23,1.23,8.59,8.7
Will S&P 500 (SPY) hit (HIGH) $760 in July?,20.0,3448,3754,0.2,2.0,4.5,50,7.9,5,3126,98.0,6.0,1.2,8.4,8.6
Will annual inflation be 3.4% in July?,91.0,2510,18567,0.405,1.0,4.5,50,18.9,8307,6676,99.0,1.32,1.2,8.39,8.5
"Will DeepSeek IPO by March 31, 2027?",10.0,1379,1983,0.26,2.0,4.5,50,525.8,826,688,98.0,11.66,1.17,8.16,8.3
Will the Fed decide differently in the next three de,270.0,121229,48100,0.605,1.0,4.5,200,53.8,31735,62844,198.0,0.42,1.14,7.96,4.0
Will Shrek 5 be delayed?,10.0,2142,3034,0.195,1.0,6.5,50,341.8,1000,592,99.0,11.16,1.12,7.81,7.9
Will The Batman: Part II be delayed?,10.0,4107,2850,0.185,1.0,6.5,50,573.8,135,1519,99.0,10.79,1.08,7.55,7.6
Will Pep Guardiola be the next head coach of the Ita,27.0,2435,4318,0.2195,2.3,4.5,40,160.8,772,3130,78.16,3.94,1.06,7.44,9.5
Will LeBron James play for the Philadelphia 76ers in,162.0,94007,39532,0.0915,0.5,4.5,200,98.9,44263,16311,199.0,0.66,1.06,7.44,3.7
0 ships transit Hormuz on any date by July 31?,20.0,8839,12276,0.1075,1.9,4.5,200,7.8,1929,5221,196.2,5.3,1.06,7.42,3.8
Over $35M committed to the RipCars public sale?,5.0,2928,5451,0.2,2.0,4.5,50,38.9,40,705,98.0,21.16,1.06,7.41,7.6
"Next Mythos-Class Model released by September 30, 20",5.0,1558,5428,0.765,7.0,4.5,50,67.8,204,547,93.0,21.0,1.05,7.35,7.9
"Next Mythos-Class Model released by September 30, 20",5.0,1558,5184,0.765,7.0,4.5,50,67.8,204,547,93.0,21.0,1.05,7.35,7.9
Will Elon Musk post 800-839 tweets in July 2026?,14.0,1680,2395,0.214,0.8,4.5,50,7.9,653,1818,99.2,7.49,1.05,7.34,7.4
Will Elon Musk post 65-89 tweets from July 25 to Jul,48.0,2122,8053,0.225,1.0,4.5,20,3.4,5601,3423,99.0,2.17,1.04,7.28,7.4
Will Iran announce withdrawal from MOU negotiations ,30.0,6569,23493,0.19,2.0,4.5,200,22.8,6697,4624,196.0,3.41,1.02,7.17,3.7
Will Spirit Win BLAST Bounty 2026 Season 2?,45.0,10833,31865,0.37,2.0,4.5,50,,4933,3796,98.0,2.24,1.01,7.06,7.2
Will HBO Max win the most Emmys?,52.0,6220,9488,0.625,1.0,4.5,50,52.8,1265,8925,99.0,1.92,1.0,7.01,7.1
Will Michael Olise Transfer to Real Madrid?,50.0,1724,6350,0.1575,2.3,4.5,100,38.8,3245,6587,97.7,1.99,1.0,6.98,7.1
Will CXMT’s closing IPO market cap be at least 3T yu,50.0,2296,5425,0.5,2.0,4.5,100,160.8,4283,5635,98.0,1.98,0.99,6.92,7.1
Strait of Hormuz traffic returns to normal by Decemb,400.0,170946,262561,0.515,1.0,4.5,200,159.8,130097,31930,198.0,0.25,0.99,6.9,3.5
Will the total domestic gross for Spider-Man: Brand ,14.0,2194,2124,0.235,1.0,4.5,50,38.8,2154,583,99.0,6.81,0.95,6.67,6.7
Will the Fed’s upper bound reach 4.5% or higher befo,2.0,4494,6242,0.1365,4.7,3.5,20,159.8,93,128,95.3,47.47,0.95,6.65,7.0
Iran leadership change by December 31?,100.0,23548,58607,0.275,1.0,3.5,200,159.8,28273,13800,198.0,0.94,0.94,6.59,3.3
Will Cristopher Sanchez win the 2026 NL Cy Young Awa,28.0,1611,3925,0.145,1.0,4.5,20,110.8,2896,2965,99.0,3.3,0.92,6.47,6.5
Will Apple be the largest company in the world by ma,92.0,52659,70763,0.1005,1.7,4.5,200,7.8,30635,8815,196.6,1.0,0.92,6.46,3.3
Will PH win the 2026 Negeri Sembilan general electio,25.0,2967,16469,0.63,2.0,5.5,50,8.8,2160,3218,98.0,3.58,0.9,6.27,6.4
No change in Bank of Mexico’s interest rates after A,29.0,1338,3892,0.907,1.2,4.5,50,12.8,3480,2817,98.8,3.08,0.89,6.25,6.3
"Iran leadership change by June 30, 2027?",30.0,2024,26375,0.395,1.0,4.5,200,340.8,11248,1828,198.0,2.97,0.89,6.23,3.1
Will no Fed rate hikes happen in 2026?,13.0,1777,18784,0.26,2.0,4.5,50,160.8,1637,1118,98.0,6.77,0.88,6.16,6.3
Will the Fed decide differently in the next three de,98.0,5331,12167,0.261,0.2,4.5,100,4.8,18335,3835,99.8,0.89,0.88,6.13,6.1
La Velada del Año 6: IlloJuan vs TheGrefg,10.0,2251,1963,0.295,3.0,4.5,50,,1598,487,97.0,8.75,0.87,6.12,6.3
US x Iran Effective Ceasefire by July 31?,300.0,116796,80800,0.155,1.0,3.5,200,7.8,94792,43057,198.0,0.29,0.87,6.08,3.1
Will Silver (XAGUSD) hit (HIGH) $64 in July?,10.0,2909,7126,0.06,2.0,4.5,50,7.9,1173,937,98.0,8.65,0.87,6.06,6.2
Will Atlanta Braves win the 2026 NL East title?,54.0,2217,9258,0.655,1.0,4.5,40,78.8,7533,2309,79.2,1.6,0.86,6.05,7.6
Will Russia capture all of Huliaipole by September 3,10.0,1538,3797,0.635,5.0,6.5,50,67.8,862,1307,95.0,8.44,0.84,5.91,6.2
Will NVIDIA be the largest company in the world by m,108.0,44175,69115,0.875,1.0,4.5,200,7.8,7484,44480,198.0,0.76,0.82,5.77,2.9
Will Saudi Arabia recognize Israel by December 31?,3.0,6077,4524,0.145,3.0,4.5,50,160.5,232,295,97.0,27.47,0.82,5.77,5.9
Will there be no change in Fed interest rates after ,285.0,3430,70994,0.535,1.0,4.5,100,96.8,43480,29165,99.0,0.27,0.78,5.48,5.5
"Will Gold (XAUUSD) hit (LOW) $3,800 in July?",10.0,7043,6645,0.068,1.2,4.5,50,7.9,1824,531,98.8,7.83,0.78,5.48,5.5
"Will Amazon.com, Inc. (AMZN) hit (LOW) $208 in July?",10.0,1722,5603,0.164,2.4,5.5,40,7.9,773,1122,78.08,7.78,0.78,5.45,7.0
Will Francesca Hong win the 2026 Wisconsin Governor ,13.0,6348,3780,0.7965,0.7,4.5,50,17.8,1451,1691,99.3,5.98,0.78,5.45,5.5
Will WTI Crude Oil (WTI) hit (HIGH) $105 in July?,50.0,90237,37148,0.2025,5.5,4.5,100,8.0,12866,241,94.5,1.5,0.75,5.26,5.6
Andrew Tate Extradited to UK by Sep 30?,100.0,12975,21870,0.145,1.0,4.5,100,68.8,8921,17532,99.0,0.75,0.75,5.25,5.3
Will Count Binface win 10–20% of votes in the Clacto,35.0,1498,13091,0.305,1.0,4.5,100,341.8,6376,2899,99.0,2.11,0.74,5.17,5.2
Will Silver (XAGUSD) hit (LOW) $52 in July?,20.0,3638,2469,0.1055,1.1,4.5,50,7.9,4595,636,98.9,3.68,0.74,5.15,5.2
Will Elon Musk post 200-219 tweets from July 21 to J,26.0,13876,29454,0.155,1.0,4.5,50,4.5,4104,2842,99.0,2.8,0.73,5.09,5.1
Will the Fed increase interest rates by 25 bps after,1220.0,589156,265561,0.2475,0.1,4.5,200,4.8,627291,47521,199.8,0.06,0.72,5.06,2.5
Will Adam Hamilton be the Democratic nominee for Sen,20.0,2778,8640,0.935,1.0,4.5,50,10.8,1824,3517,99.0,3.61,0.72,5.05,5.1
 Iran agrees to end enrichment of uranium by Decembe,30.0,1844,61183,0.225,1.0,3.5,200,159.8,11924,4449,198.0,2.38,0.72,5.01,2.5
Will the Democrats win the Texas governor race in 20,20.0,2935,10192,0.065,1.0,4.5,50,,1208,4279,99.0,3.52,0.7,4.92,5.0
Will the Chicago White Sox hit the most home runs in,13.0,2320,2208,0.036,2.6,4.5,20,79.8,3067,452,97.4,5.38,0.7,4.89,5.0
Will the Fed decide differently in the next three de,105.0,15593,41928,0.735,1.0,4.5,100,96.8,13296,16971,99.0,0.66,0.69,4.82,4.9
Will a new country join the Abraham Accords before 2,15.0,11793,13260,0.3355,0.5,4.5,100,159.8,3895,271,99.5,4.58,0.69,4.81,4.8
Will Wesley Bell be the Democratic nominee for MO-01,51.0,3178,13290,0.415,1.0,4.5,40,10.8,1323,10564,79.2,1.33,0.68,4.74,6.0
Fed rate hike in 2026?,100.0,129815,169921,0.73,2.0,3.5,200,137.8,24061,35736,196.0,0.66,0.66,4.65,2.4
Will the Fed Pause–Pause–Pause in the next three dec,95.0,18859,57917,0.24,2.0,4.5,100,96.8,16798,11792,98.0,0.69,0.66,4.62,4.7
Will Russia and Ukraine hold any diplomatic meeting ,10.0,11018,9144,0.345,1.0,4.5,50,7.8,1854,975,99.0,6.6,0.66,4.62,4.7
Bab el-Mandeb Strait effectively closed by August 31,150.0,119486,110236,0.165,1.0,4.5,200,37.8,30871,61997,198.0,0.43,0.64,4.5,2.3
Will annual inflation be 3.5% in July?,46.0,1732,10627,0.225,1.0,4.5,50,18.9,9575,4587,99.0,1.39,0.64,4.48,4.5
Will Russia enter Oleksiievo-Druzhkivka by September,10.0,1556,7249,0.425,1.0,6.5,50,68.8,2040,904,99.0,6.36,0.64,4.45,4.5
NBA: LeBron James and Bronny James Jr. to Play Toget,50.0,2372,12087,0.185,1.0,4.5,100,99.8,1407,14633,99.0,1.23,0.62,4.31,4.4
"Will ""Spider-Man: Brand New Day"" Opening Weekend Box",16.0,2929,4426,0.2995,0.1,4.5,50,9.8,1432,3597,99.9,3.82,0.61,4.28,4.3
Will the Republican Party win the NC-11 House seat?,10.0,1346,4251,0.425,1.0,4.5,50,102.8,1128,1940,99.0,6.12,0.61,4.28,4.3
Iran charges Hormuz fees by October 31?,30.0,9399,26799,0.57,2.0,4.5,20,99.8,9279,520,98.0,2.0,0.6,4.2,4.3
Will the next Google Gemini Pro model be released by,50.0,1606,3436,0.0555,0.3,4.5,50,6.4,15198,1414,99.7,1.19,0.59,4.16,4.2
Will Iran announce withdrawal from MOU negotiations ,400.0,61060,148865,0.095,1.0,4.5,200,7.8,210112,68644,198.0,0.14,0.57,4.01,2.0
LA28 Olympics run as scheduled?,300.0,40840,65973,0.8915,0.1,4.5,20,732.8,51660,52797,99.9,0.19,0.57,4.01,4.0
Will the Fed Pause–Pause–Pause in the next three dec,102.0,20524,25037,0.7345,0.5,4.5,100,4.8,10106,25490,99.5,0.56,0.57,3.99,4.0
Will there be no change in Fed interest rates after ,1280.0,1188963,346308,0.7395,0.1,4.5,200,4.8,57082,840580,199.8,0.04,0.57,3.99,2.0
Will Paul W. Downs – “Hacks” win Emmys 2026: Outstan,4.0,1743,2253,0.0835,2.3,4.5,50,52.6,835,375,97.7,14.17,0.57,3.97,4.1
Will Josh Jacobs finish the 2026-27 NFL regular seas,24.0,5366,3046,0.1,2.0,4.5,50,172.8,6129,2128,98.0,2.36,0.57,3.97,4.1
Iran invades Kuwait by August 31?,100.0,71577,40954,0.078,0.2,4.5,200,38.8,53963,18473,199.6,0.55,0.55,3.84,1.9
Will Netflix win the most Emmys?,23.0,7232,13779,0.19,2.0,4.5,50,52.8,4808,3504,98.0,2.35,0.54,3.78,3.9
"Will ""Spider-Man: Brand New Day"" Opening Weekend Box",25.0,6841,7231,0.4515,2.1,4.5,50,9.8,8500,673,97.9,2.13,0.53,3.73,3.8
Will Milwaukee Brewers win the 2026 NL Central title,54.0,2629,26628,0.88,2.0,4.5,40,78.8,9094,7108,78.4,0.98,0.53,3.7,4.7
Iran charges Hormuz fees by July 31?,30.0,17374,22767,0.0575,1.3,4.5,200,7.8,16082,7111,197.4,1.7,0.51,3.56,1.8
Will US crude oil reserves fall to 285M by August 31,10.0,3617,7031,0.73,2.0,4.5,50,46.8,2907,878,98.0,5.02,0.5,3.51,3.6
MLB: Aaron Judge or Juan Soto to draw more walks?,50.0,2748,14195,0.07,2.0,4.5,20,65.8,7624,12116,98.0,1.0,0.5,3.51,3.6
Will Renan Santos finish in second place in the firs,94.0,9349,58737,0.157,0.6,5.5,50,71.8,6790,30594,99.4,0.53,0.5,3.5,3.5
"US-Iran Final Nuclear Deal by December 31, 2026?",150.0,2696,188364,0.295,1.0,4.5,200,68.8,35947,85113,198.0,0.33,0.49,3.46,1.7
Will Austin Rogers be the FL-02 Republican nominee?,1.0,2207,875,0.075,7.0,4.5,50,25.8,0,226,93.0,46.88,0.47,3.28,3.5
Will New People (NL) gain the most seats in the next,135.0,3583,93399,0.3685,0.1,5.5,50,67.8,23282,35278,99.9,0.34,0.46,3.22,3.2
Reya FDV above $150M one day after launch?,5.0,1632,1736,0.255,1.0,4.5,50,161.0,1070,995,99.0,8.82,0.44,3.09,3.1
Will Donald Trump publicly insult someone on July 24,3.0,2220,2491,0.9185,3.1,4.5,50,7.8,768,410,96.9,14.5,0.44,3.05,3.1
Predict.fun FDV above $50M one day after launch?,50.0,14064,10620,0.885,0.4,4.5,100,526.0,8858,13859,99.6,0.87,0.44,3.05,3.1
"Israel withdraws from Lebanon by December 31, 2026?",30.0,1585,36083,0.135,1.0,4.5,200,159.8,13165,14130,198.0,1.44,0.43,3.03,1.5
Will Count Binface win less than 10% of votes in the,40.0,1718,16461,0.35,2.0,4.5,100,341.8,2707,15693,98.0,1.08,0.43,3.01,3.1
Will Count Binface get second place in the Clacton b,75.0,15651,46051,0.735,1.0,4.5,100,341.8,9582,25926,99.0,0.56,0.42,2.94,3.0
Netanyahu out by end of 2026?,30.0,15123,53923,0.425,1.0,3.5,200,159.8,16725,11768,198.0,1.38,0.42,2.91,1.5
Will Benjamin Netanyahu visit New York City by Septe,20.0,9212,28853,0.815,1.0,4.5,200,,11297,8182,198.0,2.01,0.4,2.82,1.4
Moonshot publishes Kimi K3 weights by July 27?,20.0,1993,4111,0.9675,0.5,4.5,50,3.8,416,9430,99.5,1.99,0.4,2.79,2.8
"US-Iran Final Nuclear Deal by September 30, 2026?",200.0,1860,110773,0.135,1.0,4.5,200,68.8,148944,51775,198.0,0.2,0.4,2.78,1.4
Will Apple TV win the most Emmys?,25.0,3696,14336,0.199,0.2,4.5,50,52.8,3975,8585,99.8,1.57,0.39,2.74,2.7
Will Google have the best AI model at the end of Sep,14.0,1460,17197,0.07,2.0,4.5,50,68.8,6134,856,98.0,2.78,0.39,2.73,2.8
Will Minnesota Lynx win the 2026 WNBA Finals?,104.0,8118,48844,0.42,2.0,4.5,50,98.8,31269,22088,98.0,0.37,0.39,2.72,2.8
Will there be no Somaliland parliamentary election b,100.0,12358,38840,0.925,1.0,5.5,50,159.8,20852,30921,99.0,0.38,0.38,2.69,2.7
Base FDV above $6B one day after launch?,5.0,3593,3985,0.35,2.0,4.5,50,526.0,1203,1282,98.0,7.45,0.37,2.61,2.7
"Will GPT-6 be released by August 14, 2026?",50.0,2530,5547,0.0595,0.9,4.5,20,20.8,24427,2273,99.1,0.74,0.37,2.6,2.6
Will CXMT’s closing IPO market cap be at least 2.5T ,50.0,7330,8472,0.755,1.0,4.5,100,160.8,2716,24746,99.0,0.72,0.36,2.53,2.6
Strait of Hormuz traffic returns to normal by Septem,150.0,13540,185927,0.215,1.0,4.5,200,67.8,71127,95463,198.0,0.24,0.36,2.52,1.3
Will Elon Musk post 140-159 tweets from July 24 to J,21.0,1410,12828,0.135,1.0,4.5,50,7.4,8329,3489,99.0,1.66,0.35,2.45,2.5
Will there be between 0 and 20 average daily transit,50.0,9490,6929,0.926,1.0,4.5,50,7.8,1214,28163,99.0,0.68,0.34,2.37,2.4
Will NVIDIA be the largest company in the world by m,29.0,2462,78035,0.66,2.0,4.5,50,159.8,7679,9471,98.0,1.15,0.33,2.34,2.4
Will Pete Fry win the 2026 Vancouver mayoral electio,18.0,1456,11756,0.1565,1.9,5.5,50,84.8,10090,570,98.1,1.84,0.33,2.32,2.4
Will there be Houthi military action against Israel ,5.0,7742,8779,0.125,3.0,4.5,50,7.8,2130,847,97.0,6.29,0.31,2.2,2.3
Will Nigel Farage win the 2026 Clacton by-election b,13.0,1878,8231,0.151,7.0,4.5,100,341.8,5873,2446,93.0,2.35,0.31,2.14,2.3
Will the US announce withdrawal from MOU negotiation,100.0,10939,30420,0.065,1.0,4.5,100,7.8,53858,12385,99.0,0.3,0.3,2.11,2.1
Will Erling Haaland be the #1 searched person on Goo,125.0,9181,41667,0.115,1.0,4.5,20,159.8,59830,23734,99.0,0.24,0.3,2.09,2.1
Will Jeff Weninger win the 2026 Chandler mayoral ele,12.0,5415,1740,0.011,1.8,4.5,50,102.8,7857,160,98.2,2.43,0.29,2.04,2.1
Hengam Island no longer under Iranian control by Jul,2.0,1624,2266,0.0535,4.5,4.5,50,7.8,1030,158,95.5,14.4,0.29,2.02,2.1
Will Kimi Antonelli be the 2026 F1 Drivers' Champion,133.0,1651,102272,0.7455,0.1,4.5,50,134.8,41969,50452,99.9,0.22,0.29,2.01,2.0
Will Strait of Hormuz traffic not return to normal i,31.0,5881,59199,0.485,1.0,4.5,50,160.8,13446,8067,99.0,0.92,0.29,2.0,2.0
Will Elon Musk post 220-239 tweets from July 21 to J,21.0,7993,29292,0.185,1.0,4.5,50,4.4,11663,2974,99.0,1.35,0.28,1.98,2.0
Will Cleveland Guardians win the 2026 American Leagu,7.0,6411,65903,0.0855,0.9,4.5,40,99.8,1851,2034,79.28,3.95,0.28,1.94,2.4
Will Vitality Win BLAST Bounty 2026 Season 2?,44.0,12816,33849,0.335,1.0,4.5,50,,15118,18258,99.0,0.6,0.26,1.83,1.9
"Russia-Ukraine peace talks by December 31, 2026?",10.0,1895,33098,0.61,2.0,4.5,50,160.7,5956,1535,98.0,2.6,0.26,1.82,1.9
Will the Republicans win the South Carolina Senate r,9.0,6115,35519,0.9,2.0,4.5,50,,967,5945,98.0,2.81,0.25,1.77,1.8
Mitch McConnell votes in the Senate by July 31?,5.0,2163,1745,0.12,2.0,4.5,50,7.8,3215,539,98.0,5.06,0.25,1.77,1.8
Will Linke win the most seats in the 2026 Berlin sta,38.0,6382,38062,0.335,1.0,5.5,50,57.8,11368,18534,99.0,0.66,0.25,1.77,1.8
Ink FDV above $500M one day after launch?,5.0,2258,4625,0.315,1.0,4.5,50,161.0,1906,1905,99.0,4.99,0.25,1.75,1.8
Will Elon Musk post 180-199 tweets from July 24 to J,21.0,1848,15817,0.155,1.0,4.5,50,7.4,10502,6141,99.0,1.19,0.25,1.75,1.8
Will CDU win the most seats in the 2026 Berlin state,29.0,7274,33264,0.265,1.0,5.5,50,57.8,11550,11535,99.0,0.86,0.25,1.74,1.8
Will Haley Stevens win the 2026 Michigan Democratic ,52.0,5332,45571,0.2145,0.3,4.5,40,10.8,9123,24634,79.76,0.47,0.25,1.72,2.2
Will Boston Red Sox win the 2026 AL East title?,5.0,1947,4588,0.085,1.4,4.5,40,78.8,2068,1034,78.88,4.9,0.25,1.72,2.2
Will the Republican Party win the TX-26 House seat?,8.0,2933,3655,0.895,1.0,4.5,50,101.8,2557,3898,99.0,3.0,0.24,1.68,1.7
Will Mojtaba Khamenei be head of state in Iran end o,37.0,238527,37354,0.717,0.2,4.5,100,159.8,10686,20247,99.8,0.64,0.24,1.66,1.7
Will an independent win the Nebraska Senate race in ,8.0,2155,14703,0.22,2.0,4.5,50,101.8,5857,691,98.0,2.96,0.24,1.66,1.7
"Russia x Ukraine ceasefire by December 31, 2026?",30.0,20115,78804,0.235,1.0,4.5,200,159.8,36756,13921,198.0,0.78,0.23,1.64,0.8
US obtains Iranian enriched uranium by September 30?,30.0,2102,28055,0.065,1.0,4.5,200,67.8,33255,17934,198.0,0.78,0.23,1.63,0.8
Will Benjamin Netanyahu visit New York City by Decem,20.0,5583,30115,0.875,1.0,4.5,200,,14673,19279,198.0,1.16,0.23,1.63,0.8
Will the U.S. invade Iran before 2027?,800.0,275822,746760,0.295,1.0,3.5,200,159.8,1249716,125920,198.0,0.03,0.23,1.63,0.8
Will the Republicans win the Nebraska Senate race in,12.0,9568,13199,0.72,2.0,4.5,50,101.8,9320,949,98.0,1.91,0.23,1.6,1.6
Kim Kardashian and Lewis Hamilton engaged in 2026?,5.0,4813,1734,0.075,1.0,4.5,50,160.8,3622,835,99.0,4.29,0.21,1.5,1.5
Will Apple be the second-largest company in the worl,29.0,3860,13845,0.91,2.0,4.5,50,7.8,5098,22072,98.0,0.73,0.21,1.48,1.5
Will Flávio Bolsonaro finish in second place in the ,28.0,6304,31944,0.735,1.0,5.5,50,71.8,15966,10784,99.0,0.74,0.21,1.45,1.5
Will AfD win the most seats in the 2026 Berlin state,21.0,47000,25715,0.2135,0.5,5.5,50,57.8,6797,13452,99.5,0.98,0.21,1.44,1.4
"Russia x Ukraine ceasefire agreement by August 31, 2",50.0,14267,39595,0.105,1.0,6.5,100,37.8,30265,18272,99.0,0.41,0.21,1.44,1.5
Nothing Ever Happens: July,5.0,2740,5244,0.7225,3.3,4.5,50,7.8,2159,2530,96.7,4.09,0.2,1.43,1.5
Will Samuel Alito announce his retirement by Decembe,50.0,1459,36983,0.125,1.0,4.5,100,159.8,24054,24570,99.0,0.41,0.2,1.43,1.4
Will an independent win the Montana Senate race in 2,8.0,1544,7767,0.0855,1.7,4.5,50,,5769,1839,98.3,2.56,0.2,1.43,1.5
Will 3 Fed rate hikes happen in 2026?,4.0,1949,9030,0.118,5.2,4.5,50,160.8,3146,717,94.8,4.92,0.2,1.38,1.5
Hyperbeat FDV above $100M one day after launch?,5.0,1430,8544,0.047,1.0,4.5,50,161.0,4005,948,99.0,3.88,0.19,1.36,1.4
Will S&P 500 (SPY) hit (LOW) $700 in July?,10.0,6711,8471,0.082,2.6,4.5,50,7.9,3951,6307,97.4,1.91,0.19,1.34,1.4
US x China tariff agreement by December 31?,5.0,4322,22433,0.88,2.6,4.5,50,159.8,1308,3704,97.4,3.84,0.19,1.34,1.4
Will Elon Musk post 120-139 tweets from July 24 to J,12.0,3926,14043,0.095,1.0,4.5,50,7.4,9229,3163,99.0,1.59,0.19,1.33,1.3
Will the Republicans win the Florida Senate race in ,9.0,2343,11122,0.885,1.0,4.5,50,,5430,4191,99.0,2.04,0.18,1.28,1.3
Will the Fed decrease interest rates by 25 bps after,28.0,4699,91631,0.09,2.0,4.5,100,96.8,13966,16434,98.0,0.65,0.18,1.28,1.3
Will 40 ships transit the Strait of Hormuz on any da,20.0,3811,13475,0.065,1.0,4.5,50,7.8,15893,5953,99.0,0.91,0.18,1.27,1.3
Will CXMT’s closing IPO market cap be at least 2T yu,50.0,6843,8799,0.895,1.0,4.5,100,160.8,1830,53577,99.0,0.36,0.18,1.26,1.3
Will the Democrats win the South Carolina Senate rac,11.0,2133,66316,0.11,2.0,4.5,50,,9940,2085,98.0,1.64,0.18,1.26,1.3
Bab el-Mandeb Strait effectively closed by July 31?,200.0,92393,150073,0.0265,0.1,4.5,200,6.8,332638,114556,199.8,0.09,0.18,1.25,0.6
Kash Patel out by December 31?,10.0,3592,16708,0.355,1.0,4.5,50,159.8,7690,3272,99.0,1.79,0.18,1.25,1.3
Will Elon Musk post 180-199 tweets from July 21 to J,24.0,20643,30753,0.085,1.0,4.5,50,4.5,25075,1736,99.0,0.74,0.18,1.24,1.3
US announces halt in Iran offensive operations by Ju,300.0,114596,30203,0.0255,0.3,4.5,50,38.8,327912,13838,99.7,0.06,0.18,1.23,1.2
Will Apple be the largest company in the world by ma,15.0,1422,63054,0.1985,0.1,4.5,50,159.8,10849,6391,99.9,1.15,0.17,1.2,1.2
"US-Iran Final Nuclear Deal by August 18, 2026?",100.0,21540,142715,0.049,0.2,3.5,200,25.8,141364,93190,199.6,0.17,0.17,1.19,0.6
Will Faker win a Finals MVP Award at an internationa,20.0,2721,9390,0.0805,0.1,4.5,50,159.8,14764,8594,99.9,0.85,0.17,1.19,1.2
"Russia x Ukraine ceasefire by October 31, 2026?",30.0,3626,61228,0.135,1.0,4.5,200,159.8,53117,18207,198.0,0.56,0.17,1.17,0.6
Will Kareem Allam win the 2026 Vancouver mayoral ele,8.0,1833,17389,0.1,2.0,5.5,50,84.8,8161,1522,98.0,2.02,0.16,1.13,1.2
Will Zelenskyy talk to Putin by December 31?,10.0,2302,22241,0.17,2.0,6.5,50,159.8,6767,5586,98.0,1.59,0.16,1.12,1.1
Will inflation reach more than 4.5% in 2026?,5.0,2327,9576,0.25,2.0,4.5,50,159.8,4837,1250,98.0,3.18,0.16,1.11,1.1
Will Elon Musk post 240-259 tweets from July 21 to J,12.0,12478,29583,0.187,0.4,4.5,50,4.5,11589,3666,99.6,1.29,0.16,1.09,1.1
Will Ferrari be the 2026 F1 Constructors' Champion?,50.0,3740,71286,0.117,0.2,4.5,40,134.8,21651,29894,79.84,0.31,0.15,1.08,1.4
Will no Fed rate cuts happen in 2026?,116.0,7004,147950,0.8445,0.1,4.5,50,159.8,113473,38553,99.9,0.13,0.15,1.07,1.1
"Will Waymo launch in Boston, MA by December 31 2026?",5.0,1674,1956,0.05,2.0,4.5,50,160.8,5858,453,98.0,3.07,0.15,1.07,1.1
Will Lewis Hamilton be the 2026 F1 Drivers' Champion,40.0,2125,114308,0.11,0.6,4.5,50,134.8,24741,28046,99.4,0.38,0.15,1.06,1.1
"US announces end of Iranian blockade by August 15, 2",5.0,5397,25202,0.29,2.0,4.5,50,22.8,3158,3270,98.0,3.02,0.15,1.06,1.1
"US announces end of Iranian blockade by August 15, 2",5.0,5397,25202,0.29,2.0,4.5,50,22.8,3158,3270,98.0,3.02,0.15,1.06,1.1
Will Abdul El-Sayed win the 2026 Michigan Democratic,48.0,4877,23366,0.795,1.0,4.5,40,10.8,7386,42981,79.2,0.32,0.15,1.06,1.3
Will the Los Angeles Dodgers win the 2026 World Seri,126.0,11649,136801,0.34,2.0,4.5,50,99.8,152228,14906,98.0,0.12,0.15,1.05,1.1
Opensea FDV above $1B one day after launch?,5.0,4030,11610,0.135,1.0,4.5,50,161.0,1630,4932,99.0,2.96,0.15,1.04,1.0
Will the Democratic Party win the GA-09 House seat?,13.0,2215,13630,0.065,1.0,4.5,50,101.8,10890,6677,99.0,1.13,0.15,1.02,1.0
Will María Corina Machado enter Venezuela by July 31,5.0,3308,9398,0.09,2.0,4.5,50,6.8,5427,1290,98.0,2.89,0.14,1.01,1.0
Will the U.S. invade Cuba in 2026?,30.0,9831,56461,0.145,1.0,4.5,100,159.8,17789,23855,99.0,0.48,0.14,1.0,1.0
Will a European country take military action on Iran,5.0,28479,19202,0.095,1.0,4.5,50,38.8,5981,809,99.0,2.86,0.14,1.0,1.0
Will Count Binface win 20–30% of votes in the Clacto,17.0,3698,8527,0.18,2.0,4.5,100,341.8,22205,1427,98.0,0.84,0.14,1.0,1.0
"Will Russia capture Orikhiv by December 31, 2026?",3.0,1800,6156,0.065,5.0,6.5,50,159.8,3371,615,95.0,4.78,0.14,1.0,1.1
Will the Democratic Party win the FL-06 House seat?,13.0,2000,12015,0.065,1.0,4.5,50,101.8,12129,5955,99.0,1.09,0.14,1.0,1.0
Will the Republican Party win the PA-04 House seat?,13.0,1776,8515,0.065,1.0,4.5,50,101.8,11904,6703,99.0,1.06,0.14,0.97,1.0
Will Grüne win the most seats in the 2026 Berlin sta,12.0,3758,45310,0.1395,0.3,5.5,50,57.8,11918,5205,99.7,1.15,0.14,0.97,1.0
Will Elon Musk post 220-239 tweets from July 24 to J,8.0,1382,10883,0.095,1.0,4.5,50,7.4,8221,3122,99.0,1.73,0.14,0.97,1.0
